name,mode,pLI,pRec,pNull,ExAC_type
SLC46A1,Biallelic,0.104422521431544,0.8636978089277,0.0318796696407556,Recessive
SLC46A1,NA,0.104422521431544,0.8636978089277,0.0318796696407556,Recessive
SLC46A1,Unknown,0.104422521431544,0.8636978089277,0.0318796696407556,Recessive
FOLR1,Biallelic,0.00741067522640952,0.923931695254235,0.0686576295193553,Recessive
MTHFR,Biallelic,2.45515809266206e-07,0.900732805922013,0.0992669485621777,Recessive
MTHFR,Monoallelic,2.45515809266206e-07,0.900732805922013,0.0992669485621777,Recessive
MTHFR,NA,2.45515809266206e-07,0.900732805922013,0.0992669485621777,Recessive
DHFR,Biallelic,0.276594317743087,0.700080993107319,0.0233246891495935,Recessive
DHFR,NA,0.276594317743087,0.700080993107319,0.0233246891495935,Recessive
DHFR,Unknown,0.276594317743087,0.700080993107319,0.0233246891495935,Recessive
PEX7,Biallelic,6.86128307466037e-08,0.260872575902808,0.739127355484362,None
PEX7,NA,6.86128307466037e-08,0.260872575902808,0.739127355484362,None
AGPS,Biallelic,0.998805101972043,0.0011948973592847,6.68672706746257e-10,Dominant
AGPS,NA,0.998805101972043,0.0011948973592847,6.68672706746257e-10,Dominant
ARSE,X-Linked,0.120625324518616,0.873977397032944,0.00539727844843954,Recessive
GNPAT,Biallelic,0.291272732702187,0.708689867733941,3.73995638716371e-05,Recessive
TSC1,Monoallelic,0.999978334212389,2.16657875731271e-05,3.82251207992217e-14,Dominant
TSC1,NA,0.999978334212389,2.16657875731271e-05,3.82251207992217e-14,Dominant
TSC2,Monoallelic,0.999999983432509,1.65674914826493e-08,9.7956102503699e-22,Dominant
TSC2,NA,0.999999983432509,1.65674914826493e-08,9.7956102503699e-22,Dominant
PCSK5,Unknown,0.000207778974917015,0.999792220475152,5.49931147551462e-10,Recessive
VANGL1,Monoallelic,0.533615186185259,0.465704187658467,0.000680626156273703,Dominant
GDF11,Unknown,0.963838119160384,0.0360926191000265,6.92617395895424e-05,Dominant
PAM16,Biallelic,0.144011543598339,0.778804604635976,0.0771838517656851,Recessive
SHH,Monoallelic,0.912961328200915,0.0864108251942839,0.000627846604800884,Dominant
SHH,NA,0.912961328200915,0.0864108251942839,0.000627846604800884,Dominant
SHH,Unknown,0.912961328200915,0.0864108251942839,0.000627846604800884,Dominant
FUZ,Monoallelic,0.00208816398655203,0.914415470795178,0.0834963652182702,Recessive
FUZ,NA,0.00208816398655203,0.914415470795178,0.0834963652182702,Recessive
FUZ,Unknown,0.00208816398655203,0.914415470795178,0.0834963652182702,Recessive
VANGL2,Monoallelic,0.948574651924172,0.0514184770924579,6.87098336996756e-06,Dominant
VANGL2,NA,0.948574651924172,0.0514184770924579,6.87098336996756e-06,Dominant
ZIC3,NA,0.822806978202031,0.173226408980932,0.00396661281703704,Dominant
ZIC3,X-Linked,0.822806978202031,0.173226408980932,0.00396661281703704,Dominant
GDF6,Biallelic,0.910386172281508,0.0889375818968724,0.000676245821619169,Dominant
GDF6,Monoallelic,0.910386172281508,0.0889375818968724,0.000676245821619169,Dominant
GDF6,NA,0.910386172281508,0.0889375818968724,0.000676245821619169,Dominant
FECH,Biallelic,0.138946552569902,0.860195859326802,0.000857588103295649,Recessive
ALAS2,X-Linked,0.970654597578417,0.0293041279331119,4.12744884708566e-05,Dominant
RAD51D,Monoallelic,6.18804564528162e-07,0.678061937816514,0.321937443378921,Recessive
RAD51C,Biallelic,4.27808774468152e-09,0.195397780599171,0.804602215122741,None
RAD51C,Monoallelic,4.27808774468152e-09,0.195397780599171,0.804602215122741,None
MSH2,Biallelic,0.867725630709854,0.13227423852494,1.30765205239918e-07,Dominant
MSH2,Both,0.867725630709854,0.13227423852494,1.30765205239918e-07,Dominant
MSH2,Monoallelic,0.867725630709854,0.13227423852494,1.30765205239918e-07,Dominant
MSH2,NA,0.867725630709854,0.13227423852494,1.30765205239918e-07,Dominant
MSH2,Unknown,0.867725630709854,0.13227423852494,1.30765205239918e-07,Dominant
TP53,Monoallelic,0.91222295333147,0.0877503280810861,2.6718587444359e-05,Dominant
TP53,NA,0.91222295333147,0.0877503280810861,2.6718587444359e-05,Dominant
BRCA1,Biallelic,3.28742187416399e-20,0.106035252853558,0.893964747146442,None
BRCA1,Both,3.28742187416399e-20,0.106035252853558,0.893964747146442,None
BRCA1,Monoallelic,3.28742187416399e-20,0.106035252853558,0.893964747146442,None
BRCA1,NA,3.28742187416399e-20,0.106035252853558,0.893964747146442,None
BRCA1,Unknown,3.28742187416399e-20,0.106035252853558,0.893964747146442,None
BRCA2,Biallelic,2.21312120661867e-15,0.999975297905801,2.47020941970335e-05,Recessive
BRCA2,Monoallelic,2.21312120661867e-15,0.999975297905801,2.47020941970335e-05,Recessive
BRCA2,NA,2.21312120661867e-15,0.999975297905801,2.47020941970335e-05,Recessive
BRCA2,Unknown,2.21312120661867e-15,0.999975297905801,2.47020941970335e-05,Recessive
EPCAM,Biallelic,7.50009447417055e-07,0.479893423209315,0.520105826781238,None
EPCAM,Monoallelic,7.50009447417055e-07,0.479893423209315,0.520105826781238,None
EPCAM,NA,7.50009447417055e-07,0.479893423209315,0.520105826781238,None
RRAS2,Unknown,0.674254313651317,0.320947930157995,0.00479775619068778,Dominant
ATM,Biallelic,2.71064232749178e-30,0.999996031177404,3.96882259622307e-06,Recessive
ATM,Both,2.71064232749178e-30,0.999996031177404,3.96882259622307e-06,Recessive
ATM,Monoallelic,2.71064232749178e-30,0.999996031177404,3.96882259622307e-06,Recessive
ATM,NA,2.71064232749178e-30,0.999996031177404,3.96882259622307e-06,Recessive
BRIP1,Biallelic,5.37815596396534e-13,0.932068250980266,0.0679317490191963,Recessive
BRIP1,Monoallelic,5.37815596396534e-13,0.932068250980266,0.0679317490191963,Recessive
BRIP1,Unknown,5.37815596396534e-13,0.932068250980266,0.0679317490191963,Recessive
XRCC2,Biallelic,4.23850679023585e-06,0.384417242347462,0.615578519145748,None
XRCC2,NA,4.23850679023585e-06,0.384417242347462,0.615578519145748,None
MUTYH,Biallelic,8.56708501585961e-11,0.444669652553542,0.555330347360787,None
MUTYH,NA,8.56708501585961e-11,0.444669652553542,0.555330347360787,None
NBN,Biallelic,1.74403595456629e-10,0.594331223102722,0.405668776722875,Recessive
NBN,NA,1.74403595456629e-10,0.594331223102722,0.405668776722875,Recessive
NBN,Unknown,1.74403595456629e-10,0.594331223102722,0.405668776722875,Recessive
BARD1,Biallelic,1.17553778280862e-11,0.163183983369394,0.836816016618851,None
RAD54L,NA,2.73718135268854e-13,0.409566683951366,0.59043331604836,None
PTEN,Biallelic,0.975506865848027,0.0244877796497562,5.35450221699976e-06,Dominant
PTEN,Both,0.975506865848027,0.0244877796497562,5.35450221699976e-06,Dominant
PTEN,Monoallelic,0.975506865848027,0.0244877796497562,5.35450221699976e-06,Dominant
PTEN,NA,0.975506865848027,0.0244877796497562,5.35450221699976e-06,Dominant
PTEN,Unknown,0.975506865848027,0.0244877796497562,5.35450221699976e-06,Dominant
CHEK2,Monoallelic,1.18301128459806e-15,0.00551893618037752,0.994481063819621,None
PALB2,Biallelic,1.32628496864351e-10,0.770851368791479,0.229148631075892,Recessive
PALB2,Monoallelic,1.32628496864351e-10,0.770851368791479,0.229148631075892,Recessive
PALB2,NA,1.32628496864351e-10,0.770851368791479,0.229148631075892,Recessive
PPM1D,Monoallelic,0.00116800419611814,0.996866114376143,0.00196588142773894,Recessive
PPM1D,NA,0.00116800419611814,0.996866114376143,0.00196588142773894,Recessive
STK11,Monoallelic,0.978282902427481,0.021697469549645,1.96280228741606e-05,Dominant
MLH1,Biallelic,0.739578311354265,0.260420832084964,8.56560772014109e-07,Dominant
MLH1,Both,0.739578311354265,0.260420832084964,8.56560772014109e-07,Dominant
MLH1,Monoallelic,0.739578311354265,0.260420832084964,8.56560772014109e-07,Dominant
MLH1,NA,0.739578311354265,0.260420832084964,8.56560772014109e-07,Dominant
PMS2,Biallelic,1.13903542422692e-13,0.266962097134397,0.733037902865489,None
PMS2,Both,1.13903542422692e-13,0.266962097134397,0.733037902865489,None
PMS2,Monoallelic,1.13903542422692e-13,0.266962097134397,0.733037902865489,None
PMS2,NA,1.13903542422692e-13,0.266962097134397,0.733037902865489,None
ESR1,NA,0.987167021325736,0.0128318880557621,1.09061850149614e-06,Dominant
C5,NA,5.61068968015523e-11,0.999999829018884,1.70925009246444e-07,Recessive
ITGB4,Biallelic,1.05348780207872e-11,0.999990674499279,9.32549018643716e-06,Recessive
ITGB4,Both,1.05348780207872e-11,0.999990674499279,9.32549018643716e-06,Recessive
ITGB4,NA,1.05348780207872e-11,0.999990674499279,9.32549018643716e-06,Recessive
ITGB4,Unknown,1.05348780207872e-11,0.999990674499279,9.32549018643716e-06,Recessive
ST14,Biallelic,0.85267655285458,0.147322585571004,8.61574415640199e-07,Dominant
C2,Monoallelic,1.37888637170214e-06,0.997835307780925,0.00216331333270286,Recessive
C2,NA,1.37888637170214e-06,0.997835307780925,0.00216331333270286,Recessive
PLEC,Biallelic,0.024936270552365,0.975063729447634,8.96935734504024e-16,Recessive
PLEC,Both,0.024936270552365,0.975063729447634,8.96935734504024e-16,Recessive
PLEC,NA,0.024936270552365,0.975063729447634,8.96935734504024e-16,Recessive
PLEC,Unknown,0.024936270552365,0.975063729447634,8.96935734504024e-16,Recessive
TGM1,Biallelic,5.30650116807075e-07,0.991605613629215,0.00839385572066874,Recessive
NIPAL4,Biallelic,0.000898828686270022,0.798047148420568,0.201054022893162,Recessive
ITGA6,Biallelic,0.00991360284214048,0.990086246800778,1.50357081347093e-07,Recessive
ITGA6,Monoallelic,0.00991360284214048,0.990086246800778,1.50357081347093e-07,Recessive
ALOX12B,Biallelic,0.173314447563156,0.826570904208607,0.000114648228236992,Recessive
